"Title:","crashesnew.csv"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Audi | Dodge | Ford | Honda | Lincoln | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD37E4D48"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, Dodge, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Lincoln, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, Dodge, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Lincoln, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"08/2000",5289,4,297,1016,285,39,2427,4,97,371,171,37,428,95
"09/2000",5137,2,294,956,241,47,2424,2,89,378,157,46,347,71
"10/2000",5178,4,336,977,266,50,2540,4,103,368,199,50,251,52
"11/2000",4625,3,306,865,214,53,2362,3,103,313,179,51,119,17
"12/2000",4817,4,347,966,219,41,2378,4,109,373,186,40,82,20
"01/2001",4117,2,238,795,186,41,2067,2,64,306,148,40,73,25
"02/2001",3956,4,235,745,186,30,1975,4,68,279,153,26,97,27
"03/2001",4311,5,269,813,187,46,2131,5,99,316,149,44,156,30
"04/2001",4526,4,253,832,225,56,2194,4,87,323,152,52,308,58
"05/2001",5028,10,298,924,284,49,2306,10,108,352,187,47,357,82
"06/2001",4873,4,253,896,294,40,2246,4,99,309,164,39,402,92
"07/2001",5229,3,296,997,327,47,2398,3,91,367,197,45,441,109
"08/2001",5373,6,326,996,297,47,2471,6,116,361,169,41,425,102
"09/2001",4930,6,303,940,274,46,2275,6,100,353,161,43,388,90
"10/2001",5304,7,341,974,287,58,2524,7,105,353,209,55,271,57
"11/2001",5104,4,327,972,261,44,2440,4,105,388,188,42,200,47
"12/2001",5167,5,334,1007,273,58,2561,5,105,388,209,55,142,40
"01/2002",4567,5,294,880,231,46,2256,5,90,328,185,41,102,23
"02/2002",4034,2,241,766,194,40,1974,2,82,279,153,36,127,24
"03/2002",4727,4,298,919,255,52,2284,4,90,336,195,46,184,40
"04/2002",4455,3,289,844,240,41,2142,3,87,357,170,37,259,56
"05/2002",5008,5,326,923,296,41,2317,5,114,354,181,38,374,97
"06/2002",5155,7,337,949,312,46,2291,7,106,324,177,44,451,112
"07/2002",5262,3,312,986,321,43,2369,3,96,354,187,39,431,103
"08/2002",5314,6,358,954,353,36,2310,6,121,324,201,34,482,117
"09/2002",5109,2,320,949,291,52,2330,2,95,301,174,51,431,94
"10/2002",5154,2,346,955,237,54,2406,2,115,360,159,51,249,54
"11/2002",4796,5,305,887,243,45,2313,5,105,302,177,42,178,45
"12/2002",4845,9,346,918,217,41,2383,9,102,326,174,37,93,19
"01/2003",4167,2,287,815,188,31,1947,2,83,271,151,27,85,15
"02/2003",3809,2,256,748,201,33,1778,2,83,268,155,33,98,30
"03/2003",4370,3,303,823,230,29,2042,3,96,288,161,27,216,50
"04/2003",4812,7,279,920,316,55,2194,7,82,327,205,51,376,86
"05/2003",4924,6,326,903,269,53,2250,6,97,335,160,53,373,76
"06/2003",5126,8,307,905,300,39,2253,8,87,319,179,35,460,97
"07/2003",5373,3,328,943,321,48,2276,3,97,330,183,45,509,103
"08/2003",5574,7,321,1009,364,49,2390,7,93,344,225,45,536,106
"09/2003",5070,9,314,925,302,46,2222,9,101,314,181,42,472,94
"10/2003",5482,5,361,1062,309,47,2460,5,116,372,203,43,351,68
"11/2003",5279,6,374,983,305,52,2522,6,117,327,228,47,198,48
"12/2003",4891,6,313,957,219,46,2236,6,84,306,169,42,128,25
"01/2004",4505,9,292,841,229,40,2075,9,88,312,178,34,125,23
"02/2004",4055,4,236,781,218,44,1929,4,87,278,161,41,145,36
"03/2004",4449,3,275,812,249,42,2033,3,75,271,165,38,270,61
"04/2004",4683,5,297,866,274,41,2086,5,98,274,169,35,366,79
"05/2004",5152,4,301,894,312,39,2203,4,92,314,179,34,469,97
"06/2004",5145,7,351,957,323,48,2131,7,92,295,186,42,480,106
"07/2004",5294,4,317,887,373,28,2182,4,101,280,209,25,576,126
"08/2004",5419,7,339,974,376,48,2199,7,90,313,208,43,549,130
"09/2004",4910,6,307,836,304,31,2032,6,91,265,174,28,464,111
"10/2004",5231,10,337,921,327,46,2283,10,108,281,217,41,349,77
"11/2004",4849,5,307,903,261,45,2224,5,101,297,194,42,191,40
"12/2004",5037,7,359,943,274,40,2311,7,99,329,205,34,136,34
"01/2005",4298,5,292,784,231,37,1968,5,81,271,173,28,148,27
"02/2005",4011,4,292,757,223,28,1812,4,91,245,165,24,130,26
"03/2005",4411,10,314,769,249,38,1959,10,97,260,178,31,239,45
"04/2005",4914,7,321,824,312,50,2054,7,72,263,196,46,446,98
"05/2005",5019,5,305,911,332,36,2084,5,87,293,186,32,487,107
"06/2005",5186,3,303,871,340,42,2086,3,94,252,191,38,527,111
"07/2005",5683,9,345,959,363,54,2285,9,106,295,191,43,622,115
"08/2005",5282,8,310,911,350,39,2171,8,86,310,185,35,579,126
"09/2005",5081,3,324,914,344,38,2034,3,102,273,184,34,609,126
"10/2005",5504,10,322,995,329,54,2314,10,93,323,216,47,458,83
"11/2005",5212,5,359,935,313,49,2266,5,95,299,207,44,291,63
"12/2005",4894,8,327,950,258,47,2141,8,86,278,200,41,146,25
"01/2006",4411,5,285,788,238,40,1960,5,82,255,166,30,191,40
"02/2006",4047,5,280,701,221,37,1778,5,86,215,166,34,161,32
"03/2006",4612,6,307,793,277,39,1999,6,91,256,190,31,297,51
"04/2006",4658,7,304,763,328,31,1906,7,76,242,181,27,493,100
"05/2006",5117,8,310,851,359,34,2116,8,100,282,216,32,575,105
"06/2006",5120,8,326,835,332,43,1994,8,91,252,165,37,589,119
"07/2006",5236,9,293,866,358,49,2066,9,92,275,183,43,652,127
"08/2006",5153,7,302,854,350,40,2064,7,106,253,188,32,613,119
"09/2006",4956,6,284,810,360,51,1997,6,77,259,180,43,555,126
"10/2006",5235,6,355,931,321,35,2211,6,105,302,214,29,360,65
"11/2006",4793,11,322,857,264,31,2038,11,82,283,162,27,300,58
"12/2006",4756,8,356,851,259,40,2134,8,97,280,199,34,176,36
"01/2007",4060,6,277,715,244,26,1791,6,66,232,171,22,138,35
"02/2007",3968,6,236,688,208,32,1730,6,60,230,159,29,151,27
"03/2007",4746,9,312,819,301,40,1927,9,84,248,193,37,392,68
"04/2007",4614,8,326,824,326,34,1960,8,98,259,188,28,438,106
"05/2007",4899,7,318,793,339,39,1923,7,84,279,167,32,646,136
"06/2007",4961,8,278,794,339,44,1939,8,71,252,179,36,626,118
"07/2007",5123,7,327,844,340,38,1933,7,85,249,160,29,686,139
"08/2007",5029,6,281,837,354,47,1909,6,73,267,179,41,660,138
"09/2007",4753,10,273,770,312,36,1808,10,69,234,155,29,635,114
"10/2007",4961,4,311,770,328,41,2022,4,91,233,188,35,489,96
"11/2007",4640,7,307,802,265,43,1981,7,87,255,175,36,268,51
"12/2007",4499,8,340,811,269,32,1940,8,88,260,181,28,176,38
"01/2008",3916,5,255,684,201,50,1786,5,70,232,151,42,148,24
"02/2008",3929,5,252,655,213,23,1714,5,69,222,154,19,193,34
"03/2008",3834,11,240,679,218,38,1661,11,76,237,135,33,294,44
"04/2008",4021,2,231,675,300,25,1569,2,71,189,156,22,501,106
"05/2008",4329,7,281,691,312,45,1679,7,83,232,134,41,613,119
"06/2008",4487,8,264,693,370,37,1682,8,72,212,162,31,698,154
"07/2008",4422,6,241,640,332,38,1638,5,61,206,144,26,717,142
"08/2008",4663,9,269,727,343,34,1758,9,76,215,135,29,745,157
"09/2008",4185,5,225,605,280,33,1562,5,65,186,129,28,574,105
"10/2008",4512,8,265,694,295,35,1871,8,68,224,160,28,483,97
"11/2008",4151,8,276,715,237,34,1781,8,74,200,162,28,278,45
"12/2008",4211,3,292,736,240,41,1780,3,71,213,166,36,165,28
"01/2009",3565,5,243,639,204,35,1528,5,67,201,145,27,144,20
"02/2009",3171,5,202,546,201,34,1397,5,45,185,136,26,209,38
"03/2009",3459,5,212,554,213,35,1418,5,51,163,134,29,273,43
"04/2009",3930,8,264,607,229,33,1558,7,75,169,115,29,465,79
"05/2009",4100,8,231,651,326,40,1616,6,55,211,165,31,582,111
"06/2009",4013,9,231,627,302,44,1541,9,59,186,155,34,551,102
"07/2009",4083,7,236,655,294,39,1470,5,63,187,159,28,592,100
"08/2009",4196,7,279,630,313,41,1617,7,76,191,162,34,581,98
"09/2009",3869,3,236,610,256,35,1538,3,57,189,130,29,511,91
"10/2009",3857,8,268,665,255,32,1615,8,88,206,157,31,308,60
"11/2009",3720,9,248,625,243,33,1593,9,76,210,145,26,283,54
"12/2009",3577,8,288,622,185,40,1523,7,67,177,124,35,103,25
"01/2010",3107,5,210,544,177,23,1371,5,59,173,124,15,125,16
"02/2010",2801,8,184,450,188,23,1211,8,43,146,136,16,110,18
"03/2010",3336,5,209,532,223,35,1434,5,49,167,140,31,265,49
"04/2010",3804,5,220,601,273,46,1542,5,61,189,127,36,468,105
"05/2010",3956,7,231,559,298,34,1540,7,57,172,151,29,551,95
"06/2010",3821,3,236,613,285,30,1390,2,57,176,135,22,587,107
"07/2010",4200,5,244,616,317,24,1525,5,57,168,139,17,619,114
"08/2010",4183,6,264,621,270,32,1522,6,66,177,131,28,629,95
"09/2010",4094,10,237,673,263,27,1529,10,61,176,124,21,526,87
"10/2010",4136,4,277,624,288,36,1655,4,66,189,177,26,442,69
"11/2010",3854,4,272,652,233,35,1578,4,59,183,147,33,214,34
"12/2010",3570,9,225,617,218,38,1511,9,58,186,151,29,115,24
"01/2011",3076,6,171,517,213,16,1345,6,43,161,159,12,153,31
"02/2011",2868,3,182,467,175,26,1167,2,47,126,116,19,182,34
"03/2011",3311,5,205,527,197,27,1341,5,53,162,117,19,267,45
"04/2011",3508,2,171,547,243,24,1433,2,53,166,133,21,408,72
"05/2011",3744,10,217,567,254,22,1415,9,48,165,132,18,533,92
"06/2011",3937,7,212,569,300,29,1446,7,55,163,137,26,603,114
"07/2011",4232,11,250,636,358,29,1591,9,57,184,165,26,652,138
"08/2011",4109,7,261,580,306,28,1469,6,58,161,132,23,640,128
"09/2011",3824,5,252,607,262,41,1458,5,57,195,144,35,507,75
"10/2011",4194,6,277,632,278,35,1694,5,71,174,148,28,444,82
"11/2011",3692,11,263,568,218,35,1588,11,72,163,136,30,235,45
"12/2011",3624,8,249,589,222,40,1564,8,53,170,152,31,144,25
"01/2012",3330,4,208,555,188,35,1454,3,52,160,131,31,174,22
"02/2012",3189,7,236,529,206,25,1390,7,60,188,140,20,161,34
"03/2012",3678,17,223,516,265,27,1461,16,62,177,143,18,439,81
"04/2012",3548,3,211,524,268,37,1435,3,58,163,157,29,451,82
"05/2012",3966,6,197,607,309,32,1479,6,53,185,141,25,579,111
"06/2012",4131,12,230,570,316,29,1500,12,60,158,137,21,664,107
"07/2012",4164,12,243,656,307,28,1548,11,61,191,149,22,603,104
"08/2012",4258,9,257,617,309,30,1578,8,68,172,161,24,623,100
"09/2012",4074,5,230,586,259,23,1563,5,53,190,126,20,575,86
"10/2012",3997,11,239,598,260,24,1608,11,79,183,151,16,395,57
"11/2012",3853,12,235,608,230,29,1624,12,61,154,151,22,276,40
"12/2012",3772,9,229,606,243,34,1633,9,60,171,168,26,168,27
"01/2013",3416,5,220,523,217,31,1424,4,64,149,139,26,163,35
"02/2013",2845,6,195,453,183,24,1177,6,54,120,124,17,135,24
"03/2013",3552,9,198,545,223,29,1488,7,52,167,140,21,301,44
"04/2013",3464,15,222,528,258,29,1399,15,59,163,134,25,397,72
"05/2013",3817,8,193,547,298,24,1445,8,48,164,141,20,504,104
"06/2013",4009,12,223,596,297,24,1481,12,63,183,157,16,573,85
"07/2013",3933,17,233,524,291,26,1453,16,57,152,123,21,583,108
"08/2013",4304,18,230,583,347,36,1607,17,64,160,162,29,695,139
"09/2013",4106,13,229,588,316,29,1587,12,62,175,153,22,612,109
"10/2013",4135,7,228,609,269,26,1622,7,41,165,158,24,433,67
"11/2013",3803,6,247,590,253,23,1651,6,77,179,165,20,265,41
"12/2013",3717,10,219,550,197,29,1624,9,49,169,123,25,137,26
"01/2014",3260,10,224,528,183,25,1362,9,58,143,112,18,164,26
"02/2014",2802,8,193,451,184,24,1192,8,62,129,124,16,145,25
"03/2014",3374,13,217,508,241,36,1379,11,59,142,144,30,279,46
"04/2014",3478,6,185,513,265,27,1395,6,58,158,141,23,389,71
"05/2014",3891,13,227,494,263,37,1507,13,65,175,132,28,564,83
"06/2014",3887,6,228,541,300,28,1395,6,56,151,136,20,621,101
"07/2014",4011,16,206,550,309,32,1476,16,46,158,144,25,590,93
"08/2014",4175,13,246,596,323,25,1587,11,59,203,171,22,585,93
"09/2014",3897,11,235,523,294,30,1480,9,57,155,141,25,522,91
"10/2014",4242,10,272,637,290,30,1720,9,58,189,180,25,422,61
"11/2014",4044,11,288,620,282,25,1715,9,74,182,189,20,243,39
"12/2014",3889,13,250,624,275,32,1688,12,70,206,173,23,181,31
"01/2015",3584,10,216,560,243,30,1557,7,58,168,163,24,167,33
"02/2015",3057,6,198,481,205,20,1280,4,56,147,127,14,152,26
"03/2015",3721,6,220,568,247,40,1537,6,70,147,146,35,320,55
"04/2015",3741,10,223,526,265,20,1489,9,70,143,149,16,430,61
"05/2015",4333,17,261,619,320,22,1689,15,62,191,168,17,575,85
"06/2015",4260,7,250,591,321,27,1639,7,61,170,164,24,585,99
"07/2015",4628,6,287,598,350,39,1714,4,64,158,161,36,666,117
"08/2015",4630,13,279,639,349,24,1728,9,78,195,170,17,647,113
"09/2015",4380,9,261,651,317,29,1715,5,65,183,165,24,560,93
"10/2015",4610,11,272,644,331,30,1849,11,81,195,176,24,493,74
"11/2015",4212,16,286,634,267,30,1775,12,81,199,162,25,269,52
"12/2015",4322,10,257,639,304,30,1846,10,69,218,186,24,266,47
"01/2016",3483,20,226,516,231,23,1521,16,66,176,149,18,160,24
"02/2016",3668,10,229,532,271,28,1587,7,60,174,180,21,243,43
"03/2016",4065,6,245,557,318,33,1709,5,66,191,186,24,346,60
"04/2016",4172,22,224,591,309,23,1649,19,58,170,157,19,472,77
"05/2016",4580,15,282,606,345,35,1750,10,70,163,178,29,634,102
"06/2016",4721,15,289,652,379,33,1809,14,76,182,202,30,617,102
"07/2016",4583,10,292,614,331,28,1711,8,66,173,181,21,653,81
"08/2016",4794,9,284,656,364,25,1812,6,88,185,186,20,635,104
"09/2016",4758,16,297,648,327,15,1773,16,67,178,159,11,630,103
"10/2016",4933,15,295,696,339,43,1978,12,72,208,189,39,537,77
"11/2016",4570,17,285,668,367,23,1927,14,77,198,226,19,344,54
"12/2016",4387,14,291,656,313,37,1853,11,62,182,190,31,193,34
"01/2017",3988,20,277,564,264,27,1734,14,67,174,176,22,195,25
"02/2017",3487,12,209,454,251,27,1467,7,55,150,166,24,271,30
"03/2017",4183,10,265,611,281,43,1791,9,71,181,168,37,328,43
"04/2017",4257,10,257,582,298,26,1718,9,68,213,158,19,517,78
"05/2017",4523,14,261,590,357,33,1764,13,78,164,195,23,537,88
"06/2017",4752,16,288,667,369,27,1804,10,70,188,186,19,643,109
"07/2017",4980,18,299,683,387,38,1819,12,87,197,198,25,724,103
"08/2017",4515,11,292,624,336,22,1744,10,77,194,152,13,586,104
"09/2017",4874,13,304,625,382,38,1875,10,85,192,193,27,652,120
"10/2017",4726,16,316,677,326,31,1809,14,78,190,180,22,438,63
"11/2017",4441,13,260,680,299,25,1883,11,69,219,183,19,283,34
"12/2017",4402,6,302,675,306,22,1873,3,91,198,177,19,211,37
"01/2018",4056,17,256,599,298,29,1749,15,66,190,188,22,202,35
"02/2018",3547,9,223,479,256,11,1446,6,52,133,164,9,217,31
"03/2018",4084,15,253,607,280,19,1675,12,59,185,162,13,287,50
"04/2018",3985,6,232,568,289,20,1644,4,73,186,182,16,387,50
"05/2018",4598,6,298,608,332,29,1746,5,89,170,182,23,583,79
"06/2018",4648,11,276,612,345,33,1669,8,67,179,158,26,687,96
"07/2018",4610,17,290,626,328,29,1688,12,95,190,164,21,637,80
"08/2018",4648,8,272,612,353,33,1693,7,65,169,174,30,659,101
"09/2018",4600,21,244,632,342,34,1778,19,66,195,181,23,572,77
"10/2018",4825,21,315,725,313,35,1846,13,85,218,181,27,450,57
"11/2018",4164,14,274,595,278,33,1692,9,65,187,176,21,240,44
"12/2018",4107,13,284,571,291,38,1717,8,68,171,173,27,193,32
"01/2019",3875,12,266,558,259,20,1596,7,77,153,163,16,147,20
"02/2019",3344,11,239,488,250,16,1391,9,66,158,137,15,179,37
"03/2019",3959,18,232,541,292,22,1623,16,64,170,169,14,340,45
"04/2019",4072,14,273,512,279,31,1538,11,73,154,149,25,421,54
"05/2019",4487,12,270,601,331,30,1649,9,75,166,156,20,593,91
"06/2019",4535,10,244,567,327,21,1622,6,60,156,154,16,652,98
"07/2019",4592,13,287,619,335,27,1628,9,72,182,148,20,666,114
"08/2019",4699,14,279,590,377,15,1700,9,76,145,172,14,677,120
"09/2019",4674,16,286,631,350,26,1645,11,78,163,177,21,619,86
"10/2019",4560,12,250,662,351,24,1767,12,61,195,204,18,397,61
"11/2019",4339,12,291,620,299,35,1731,8,61,190,167,24,247,38
"12/2019",4111,16,263,591,255,31,1696,14,68,171,155,23,176,31
"01/2020",3760,17,237,541,239,22,1539,11,69,165,147,17,165,22
"02/2020",3747,17,221,515,295,20,1596,14,76,165,193,17,212,35
"03/2020",3548,11,214,463,283,18,1441,7,70,131,151,17,326,49
"04/2020",3077,10,179,383,253,21,1198,9,57,122,146,14,365,55
"05/2020",4267,9,227,562,340,33,1588,8,65,154,172,26,551,89
"06/2020",5186,20,297,665,392,21,1878,15,70,220,213,12,707,94
"07/2020",5251,18,295,636,423,35,1964,12,81,200,206,30,740,116
"08/2020",5426,26,314,690,434,31,1991,20,90,223,205,25,775,120
"09/2020",5230,15,330,673,415,25,1921,11,110,196,212,16,703,113
"10/2020",5480,24,314,711,433,35,2037,17,96,208,219,26,573,92
"11/2020",4784,22,289,634,379,25,1903,17,86,175,225,19,385,51
"12/2020",4516,14,294,584,306,35,1826,12,78,167,173,29,213,35



"Publisher:", "National Highway Traffic Safety Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
