"Title:","crashesnew.csv"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Audi | Dodge | Ford | Honda | Lincoln | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD37E4D48"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, Dodge, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Lincoln, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, Dodge, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Lincoln, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"10/1980",10898,24,530,2050,286,62,10790,24,528,2040,286,62,,
"11/1980",10608,6,518,2050,228,62,10534,6,508,2046,228,62,,
"12/1980",10644,36,576,2040,172,76,10586,36,570,2032,172,76,,
"01/1981",9080,16,410,1756,158,66,8888,16,400,1732,154,66,,
"02/1981",8682,18,440,1672,208,44,8556,18,434,1654,206,44,,
"03/1981",9312,8,500,1786,278,60,9174,8,498,1766,272,60,,
"04/1981",9872,8,468,1772,346,44,9708,8,462,1752,342,44,,
"05/1981",10690,16,480,1908,382,68,10528,16,472,1892,378,68,,
"06/1981",11108,14,534,1860,442,62,10904,14,522,1840,436,62,,
"07/1981",11952,26,536,1998,570,52,11728,26,530,1982,560,52,,
"08/1981",12442,20,576,2190,592,44,12218,20,572,2170,588,44,,
"09/1981",10852,14,558,2006,482,76,10660,14,548,1984,476,76,,
"10/1981",10900,28,520,2008,298,58,10734,28,516,1994,294,58,,
"11/1981",10162,16,530,1928,240,56,10008,16,526,1906,240,56,,
"12/1981",10346,16,540,1974,200,60,10222,16,532,1956,200,60,,
"01/1982",7652,6,368,1412,156,40,7542,6,366,1412,156,40,,
"02/1982",7282,12,334,1254,194,44,7202,12,334,1254,194,44,,
"03/1982",8612,26,420,1550,244,66,8514,26,420,1550,244,66,,
"04/1982",9158,10,420,1562,294,48,9080,10,420,1562,294,48,,
"05/1982",9886,6,462,1612,478,58,9776,6,462,1612,478,58,,
"06/1982",9872,20,392,1690,410,36,9750,20,392,1690,410,36,,
"07/1982",10698,8,484,1798,474,64,10532,8,482,1798,474,64,,
"08/1982",10696,18,478,1888,498,66,10554,18,478,1886,498,66,,
"09/1982",10006,22,446,1702,390,44,9892,22,446,1702,390,44,,
"10/1982",10364,14,466,1868,306,58,10242,14,464,1868,306,58,,
"11/1982",9114,8,478,1592,198,88,9006,8,478,1590,198,88,,
"12/1982",9570,16,490,1728,218,40,9454,16,490,1728,218,40,,
"01/1983",7440,14,346,1436,198,36,7346,14,346,1434,198,36,,
"02/1983",7056,14,388,1308,172,36,6966,14,386,1306,172,36,,
"03/1983",7848,16,344,1514,196,48,7758,16,344,1514,196,48,,
"04/1983",8428,4,348,1530,312,52,8304,4,348,1530,312,52,,
"05/1983",9382,16,414,1614,410,56,9282,16,412,1608,410,56,,
"06/1983",9546,8,432,1688,426,42,9460,8,432,1686,426,42,,
"07/1983",10548,16,450,1816,562,46,10380,16,448,1814,562,46,,
"08/1983",10620,26,450,1804,550,46,10498,26,450,1802,550,46,,
"09/1983",10282,16,434,1730,464,46,10140,16,434,1730,464,46,,
"10/1983",10244,24,514,1704,368,68,10106,24,514,1704,368,68,,
"11/1983",9386,26,410,1742,230,52,9262,26,410,1740,230,52,,
"12/1983",9432,24,444,1598,238,58,9314,24,444,1596,238,58,,
"01/1984",7586,10,394,1450,206,38,7498,10,394,1450,206,38,,
"02/1984",7416,18,362,1292,234,50,7362,18,362,1292,234,50,,
